platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
1,2,35,2,51,1,0,1700,107,19,95,90,66.5807150595883,71.39869989165764
1,38,14,3,32,0,0,1616,322,451,94,82,70.26510067114094,73.19127516778524
0,28,14,2,84,1,0,283,20,5,94,90,69.51773049645391,71.83333333333333
1,3,35,5,27,0,0,240,34,27,91,87,67.53865979381443,71.60309278350516
0,2,14,1,81,1,0,251,39,11,90,84,66.5807150595883,71.39869989165764
1,2,14,3,52,0,0,520,112,78,90,85,66.5807150595883,71.39869989165764
0,28,0,1,31,0,0,34,4,2,90,83,69.51773049645391,71.83333333333333
1,45,15,5,62,0,0,187,44,29,90,84,67.4431554524362,71.97679814385151
1,44,35,1,14,0,0,33,8,10,89,71,59.140969162995596,72.21585903083701
1,2,35,3,60,1,0,1061,191,271,89,76,66.5807150595883,71.39869989165764
1,2,14,5,22,0,0,190,63,25,88,81,66.5807150595883,71.39869989165764
1,3,35,3,24,0,0,107,34,13,88,82,67.53865979381443,71.60309278350516
1,38,14,3,70,6,0,1155,127,77,88,85,70.26510067114094,73.19127516778524
1,2,35,3,27,1,0,128,31,12,87,84,66.5807150595883,71.39869989165764
1,2,14,2,16,1,0,302,51,12,86,85,66.5807150595883,71.39869989165764
1,2,35,3,39,3,0,202,119,120,86,68,66.5807150595883,71.39869989165764
1,14,35,5,21,2,0,48,30,31,86,70,65.53086419753086,70.22222222222223
1,2,35,3,8,1,0,22,8,6,86,72,66.5807150595883,71.39869989165764
0,2,35,5,67,2,0,43,9,2,85,80,66.5807150595883,71.39869989165764
1,45,6,6,24,3,0,43,6,10,85,76,67.4431554524362,71.97679814385151
0,14,32,1,64,9,0,157,45,7,85,83,65.53086419753086,70.22222222222223
1,39,13,5,68,5,0,646,216,490,85,59,68.84482758620689,73.03448275862068
1,3,6,3,20,2,0,219,63,24,84,81,67.53865979381443,71.60309278350516
1,28,14,6,11,2,0,45,3,2,84,85,69.51773049645391,71.83333333333333
1,2,35,5,10,1,0,18,3,5,84,77,66.5807150595883,71.39869989165764
1,44,35,1,43,2,0,22,5,4,84,79,59.140969162995596,72.21585903083701
1,45,35,6,7,0,0,11,10,5,84,71,67.4431554524362,71.97679814385151
1,2,14,6,28,2,0,194,34,23,84,84,66.5807150595883,71.39869989165764
1,2,35,2,51,4,0,84,14,4,84,84,66.5807150595883,71.39869989165764
1,38,15,5,56,3,0,121,51,47,84,73,70.26510067114094,73.19127516778524
1,14,35,2,23,1,0,29,14,37,84,62,65.53086419753086,70.22222222222223
1,45,15,5,29,4,0,69,27,51,83,71,67.4431554524362,71.97679814385151
1,2,14,5,22,3,0,93,19,3,83,81,66.5807150595883,71.39869989165764
1,2,32,5,25,4,0,495,53,26,83,86,66.5807150595883,71.39869989165764
1,3,14,3,23,5,0,114,54,30,83,79,67.53865979381443,71.60309278350516
0,2,0,1,18,1,0,9,8,0,83,80,66.5807150595883,71.39869989165764
1,14,35,1,8,2,0,8,3,4,83,71,65.53086419753086,70.22222222222223
1,5,35,5,28,4,0,31,4,2,82,83,67.22970297029703,71.65544554455445
0,2,14,2,26,3,0,15,0,0,82,82,66.5807150595883,71.39869989165764
1,5,35,6,21,3,0,40,7,3,82,84,67.22970297029703,71.65544554455445
1,38,14,3,38,7,0,364,291,1017,82,45,70.26510067114094,73.19127516778524
0,2,35,2,8,0,0,4,3,8,82,50,66.5807150595883,71.39869989165764
1,2,0,5,9,1,0,10,8,4,82,73,66.5807150595883,71.39869989165764
1,21,35,3,30,4,0,110,39,34,82,77,69.22543352601156,73.82658959537572
1,38,35,3,14,3,0,29,10,5,82,77,70.26510067114094,73.19127516778524
1,38,14,6,22,4,0,209,17,15,81,89,70.26510067114094,73.19127516778524
0,2,9,2,56,9,0,53,17,3,81,81,66.5807150595883,71.39869989165764
1,2,35,5,14,2,0,24,6,2,81,79,66.5807150595883,71.39869989165764
1,2,35,6,17,3,0,29,9,2,81,75,66.5807150595883,71.39869989165764
1,14,35,1,30,7,0,11,3,6,81,77,65.53086419753086,70.22222222222223
1,38,35,2,21,5,0,82,28,29,81,73,70.26510067114094,73.19127516778524
1,45,35,2,30,6,0,27,10,5,80,73,67.4431554524362,71.97679814385151
1,3,9,3,18,6,0,197,97,82,80,69,67.53865979381443,71.60309278350516
1,3,35,3,15,5,0,62,53,26,80,74,67.53865979381443,71.60309278350516
1,18,35,5,29,9,0,101,50,327,80,36,64.6923076923077,70.6923076923077
1,45,35,3,42,10,0,33,18,8,80,77,67.4431554524362,71.97679814385151
1,45,1,6,10,2,0,22,1,5,80,75,67.4431554524362,71.97679814385151
1,14,35,5,10,1,0,37,16,13,80,71,65.53086419753086,70.22222222222223
1,2,14,6,16,3,0,14,10,5,80,72,66.5807150595883,71.39869989165764
0,2,7,5,48,14,0,24,2,3,79,81,66.5807150595883,71.39869989165764
1,5,0,5,13,2,0,4,2,0,79,79,67.22970297029703,71.65544554455445
1,2,35,6,12,1,0,23,9,5,79,77,66.5807150595883,71.39869989165764
1,38,35,6,13,5,0,47,19,4,79,77,70.26510067114094,73.19127516778524
1,2,26,3,24,7,1,206,145,321,79,53,66.5807150595883,71.39869989165764
1,43,35,5,13,5,0,5,2,3,79,61,63.71052631578947,68.73684210526316
0,2,0,2,25,5,0,7,4,0,79,78,66.5807150595883,71.39869989165764
1,38,35,3,8,0,1,8,2,1,78,75,70.26510067114094,73.19127516778524
1,2,35,3,19,7,0,348,169,1181,78,27,66.5807150595883,71.39869989165764
0,38,14,5,19,7,1,18,4,3,78,43,70.26510067114094,73.19127516778524
1,45,14,5,32,14,0,45,26,14,78,78,67.4431554524362,71.97679814385151
0,2,35,5,35,14,0,24,2,1,77,79,66.5807150595883,71.39869989165764
1,2,14,1,8,3,0,97,19,8,77,83,66.5807150595883,71.39869989165764
1,45,35,5,13,8,0,20,5,2,77,80,67.4431554524362,71.97679814385151
0,2,0,1,5,2,0,11,2,0,77,79,66.5807150595883,71.39869989165764
1,2,14,5,18,4,0,29,14,5,77,77,66.5807150595883,71.39869989165764
1,38,35,5,37,11,0,78,37,65,77,60,70.26510067114094,73.19127516778524
1,44,35,6,8,5,0,8,2,4,77,65,59.140969162995596,72.21585903083701
1,21,14,6,15,5,1,30,9,8,77,79,69.22543352601156,73.82658959537572
1,45,35,5,12,8,0,17,11,23,77,58,67.4431554524362,71.97679814385151
1,43,14,5,35,21,0,24,14,16,77,60,63.71052631578947,68.73684210526316
1,5,14,1,7,3,0,6,2,0,77,74,67.22970297029703,71.65544554455445
1,45,0,2,10,5,0,38,41,83,76,49,67.4431554524362,71.97679814385151
1,2,35,5,4,3,0,12,3,1,76,75,66.5807150595883,71.39869989165764
1,3,35,2,10,4,0,4,1,1,76,76,67.53865979381443,71.60309278350516
1,2,15,3,31,17,1,174,50,77,76,73,66.5807150595883,71.39869989165764
1,2,35,6,4,3,0,2,0,0,76,67,66.5807150595883,71.39869989165764
1,2,35,3,10,7,0,110,30,13,76,77,66.5807150595883,71.39869989165764
1,38,15,3,19,12,0,31,37,22,76,64,70.26510067114094,73.19127516778524
1,38,0,6,4,4,0,14,6,2,75,77,70.26510067114094,73.19127516778524
1,5,35,3,10,5,0,2,0,1,75,79,67.22970297029703,71.65544554455445
1,2,0,3,18,11,0,46,29,20,75,67,66.5807150595883,71.39869989165764
0,28,35,1,13,8,0,4,0,1,75,79,69.51773049645391,71.83333333333333
1,3,35,4,10,6,1,8,2,0,75,72,67.53865979381443,71.60309278350516
1,45,14,5,4,3,0,30,3,7,75,71,67.4431554524362,71.97679814385151
1,38,0,3,23,16,0,35,38,67,75,55,70.26510067114094,73.19127516778524
0,14,35,1,33,26,0,15,9,2,75,73,65.53086419753086,70.22222222222223
0,2,35,2,5,3,0,5,2,0,75,77,66.5807150595883,71.39869989165764
1,3,0,3,17,12,0,110,27,12,75,84,67.53865979381443,71.60309278350516
1,2,35,6,14,9,0,4,0,1,75,71,66.5807150595883,71.39869989165764
1,5,35,2,20,10,0,4,1,1,75,77,67.22970297029703,71.65544554455445
1,3,35,4,12,8,1,4,3,0,74,73,67.53865979381443,71.60309278350516
1,2,14,6,6,6,0,6,5,0,74,75,66.5807150595883,71.39869989165764
