english,publisher,required_age,achievements,average_playtime,median_playtime,porcentage_positivas,windows,mac,linux,Multi-player,Online,Single-player,Anti-Cheat,Indie,Casual,price
1,11199,0,0,17612,317,97.39,1,1,1,1,1,0,1,0,0,7.19
1,11199,0,0,277,62,83.98,1,1,1,1,1,0,1,0,0,3.99
1,11199,0,0,187,34,89.56,1,1,1,1,0,0,1,0,0,3.99
1,11199,0,0,258,184,82.66,1,1,1,1,1,0,1,0,0,3.99
1,11199,0,0,624,415,94.8,1,1,1,1,0,1,1,0,0,3.99
1,11199,0,0,175,10,80.13,1,1,1,1,1,0,1,0,0,3.99
1,11199,0,0,1300,83,96.19,1,1,1,1,1,1,1,0,0,7.19
1,11199,0,0,427,43,89.39,1,1,1,1,0,1,1,0,0,7.19
1,11199,0,0,361,205,90.1,1,1,1,0,0,1,0,0,0,3.99
1,11199,0,33,691,402,96.56,1,1,1,0,0,1,0,0,0,7.19
1,11199,0,147,6842,400,95.64,1,1,1,1,0,0,1,0,0,7.19
1,11199,0,54,1356,134,89.66,1,1,1,1,0,0,1,0,0,7.19
1,11199,0,0,311,32,88.44,1,1,1,1,0,0,1,0,0,3.99
1,11199,0,13,281,184,93.86,1,1,1,0,0,1,0,0,0,5.79
1,11199,0,15,288,137,97.96,1,1,1,0,0,1,0,0,0,7.19
1,11199,0,22,354,301,95.23,1,1,1,0,0,1,0,0,0,5.79
1,11199,0,73,897,278,94.98,1,1,0,1,0,1,1,0,0,7.19
1,11199,0,70,1615,566,96.76,1,1,1,1,0,1,1,0,0,7.19
1,11199,0,51,1102,520,98.65,1,1,1,0,0,1,0,0,0,7.19
1,6516,0,0,0,0,70.18,1,0,0,1,0,1,0,1,0,5.99
1,10907,0,44,232,258,87.51,1,1,1,1,0,0,1,0,0,3.99
1,10907,0,285,1328,306,95.3,1,1,1,1,0,1,1,0,0,14.99
1,8855,0,0,0,0,88.47,1,0,0,0,0,1,0,0,0,7.19
1,5225,0,0,182,273,74.92,1,1,1,0,0,1,0,1,0,7.19
1,5225,0,0,65,77,91.33,1,1,1,0,0,1,0,1,0,6.99
1,5225,0,22,80,119,85.67,1,1,1,1,0,1,0,1,0,7.19
1,5225,0,12,121,224,83.07,1,1,0,1,0,1,0,1,0,7.19
1,9994,0,0,0,0,76.09,1,0,0,1,0,1,0,0,0,22.99
1,9994,0,0,0,0,81.16,1,0,0,1,0,1,0,0,0,6.99
1,9994,0,0,0,0,80.68,1,0,0,1,0,1,0,0,0,4.99
1,9994,0,0,9,12,76.32,1,0,0,1,0,1,0,0,0,4.99
1,9994,0,0,0,0,57.32,1,0,0,1,0,1,0,0,0,3.99
1,9994,0,0,35,35,69.2,1,0,0,1,0,1,0,0,0,10.99
1,867,0,0,11,21,86.36,1,0,0,0,0,1,0,0,0,2.99
1,10797,0,0,405,414,67.66,1,1,1,1,0,1,0,0,0,3.99
1,10793,0,0,484,422,71.57,1,1,1,1,1,1,0,0,0,6.99
1,11015,0,0,634,700,93.28,1,0,0,1,0,1,1,0,0,4.29
1,12245,0,0,123,103,95.38,1,0,0,1,0,1,0,0,0,12.99
1,1278,18,0,36,32,83.9,1,0,0,1,0,1,0,0,0,12.99
1,1280,0,0,69,110,95.32,1,0,0,0,0,1,0,0,0,2.99
1,12245,0,0,125,179,93.51,1,0,0,0,0,1,0,0,0,3.99
1,12245,0,0,120,114,87.48,1,0,0,0,0,1,0,0,0,3.99
1,12245,0,0,90,78,93.26,1,0,0,1,0,1,0,0,0,3.99
1,12245,0,0,167,189,95.06,1,0,0,1,0,1,0,0,0,3.99
1,12245,0,0,291,349,92.75,1,0,0,1,0,1,0,0,0,3.99
1,12245,0,0,32,32,84.42,1,0,0,1,0,1,0,0,0,2.49
1,12245,0,0,1,1,62.07,1,0,0,1,0,1,0,0,0,2.49
1,12245,0,0,0,0,77.7,1,0,0,1,0,1,0,0,0,12.99
1,12245,0,0,50,50,90.55,1,0,0,0,0,1,0,0,0,2.99
1,12245,0,0,0,0,74.03,1,0,0,0,0,1,0,0,0,2.99
1,12245,0,0,0,0,93.5,1,0,0,1,0,1,0,0,0,2.99
1,11015,0,12,193,193,76.44,1,0,0,1,0,1,0,0,0,4.29
1,3952,0,0,186,258,79.69,1,1,0,0,0,1,0,0,0,3.99
1,1545,0,0,0,0,53.84,1,0,0,0,0,1,0,0,0,2.99
1,401,0,0,350,202,94.45,1,0,0,0,0,1,0,0,0,14.99
1,401,0,0,462,889,89.48,1,0,0,0,0,1,0,0,0,9.99
1,401,0,0,545,849,93.0,1,0,0,1,0,1,0,0,0,14.99
1,404,0,0,750,1041,91.16,1,1,0,1,0,1,0,0,0,14.99
1,401,0,0,0,0,83.48,1,0,0,1,0,1,0,0,0,14.99
1,10244,0,0,0,0,84.51,1,0,0,1,0,1,0,0,0,1.99
1,957,0,0,0,0,77.5,1,0,0,1,0,1,0,1,0,3.99
1,1545,0,0,0,0,65.32,1,0,0,1,0,1,0,0,0,5.99
1,3253,0,0,732,732,80.92,1,0,0,0,0,1,0,0,0,4.99
1,3253,0,0,831,1232,71.39,1,1,1,0,0,1,0,0,0,9.99
1,3253,0,33,972,1273,85.72,1,1,1,0,0,1,0,0,0,15.99
1,3253,0,0,648,648,74.74,1,0,0,0,0,1,0,0,0,3.49
1,3253,0,0,13,13,76.0,1,0,0,0,0,1,0,0,0,3.49
1,3253,0,69,1744,3386,41.26,1,1,1,0,0,1,0,0,0,24.99
1,9994,0,0,0,0,75.36,1,0,0,1,0,1,0,0,0,22.99
1,9994,0,0,0,0,80.38,1,0,0,0,0,1,0,0,0,22.99
1,9994,0,0,0,0,70.21,1,0,0,1,0,1,0,0,0,22.99
1,9994,0,0,293,351,94.07,1,0,0,0,0,1,0,0,0,5.99
1,10403,0,0,939,939,78.09,1,0,0,1,0,1,0,0,0,3.99
1,10404,0,0,46,60,80.02,1,0,0,1,0,1,0,0,0,8.59
1,10403,0,0,0,0,66.36,1,0,0,1,0,1,0,0,0,3.99
1,94,0,0,0,0,80.99,1,0,0,0,0,1,0,0,0,3.99
1,92,0,0,1422,1429,90.09,1,1,0,0,0,1,0,0,0,7.99
1,10244,0,0,0,0,24.19,1,0,0,1,0,1,0,0,0,4.49
1,4638,0,0,1,1,59.81,1,0,0,0,0,1,0,0,1,4.49
1,10244,0,0,270,270,75.8,1,0,0,1,0,1,0,0,0,4.49
1,8234,0,0,267,267,92.19,1,1,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,71.72,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,214,254,94.37,1,1,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,83.33,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,76.92,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,72.41,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,68.75,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,76.67,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,237,237,93.88,1,1,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,84.48,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,61.54,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,83.33,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,21,480,374,96.99,1,1,0,0,0,1,0,0,0,4.25
1,8234,0,0,0,0,62.99,1,1,0,0,0,1,0,0,1,4.25
1,8234,0,0,0,0,72.73,1,0,0,0,0,1,0,0,1,4.25
1,8234,0,14,0,0,93.95,1,0,0,0,0,1,0,0,1,4.25
1,8635,0,0,262,371,75.8,1,0,0,0,0,1,0,0,0,5.59
1,8635,0,0,8,8,87.62,1,0,0,1,0,1,0,0,0,5.59
1,8635,0,0,287,318,95.11,1,0,0,0,0,1,0,0,0,6.99
1,8635,0,0,20,24,86.75,1,0,0,1,0,1,0,0,0,3.99
